Galactocentric Raidus,Cluster Metallicity,Number of Objects in the Cluster,Cluster Mass,Observational Core Radius,Observational Half-Light Radius,Central Surface Brightness Total,Binary Fraction,Half-Mass Relaxation Time,Total Luminosity of Cluster at 12 Gyrs,Central Velocity Dispersion 3d,Total V-band luminosity,Central surface brightness from King 62 fitting of cumulative luminosity profile from snap-2D.dat,Core radius obtained from King 62 fitting of snap-2D.dat,Half-light radius obtained from King 62 fitting,Total luminosity from snap-2D,Single Black Holes,Binary Black Holes,Black Hole Other Count,Mass of Most Massive Black Hole,Fallback Enabled,Central Velocity Dispersion,,
15.7393379,0.001,94885,34722.8791,9.9436203,12.319402,18.600317,0.0457607,10945.2979,14021.8007,1.55274115,11099,22.30551422,7.369945842,12.3537,11099,82,2,0,25.6364703,1,1.37743,17.78,128.39
15.7393379,0.001,356684,117629.43,0.280245931,4.1935124,13756.1806,0.0335872,5402.56674,60623.9275,5.86017547,44508.5,4806.116863,0.596895058,4.16163,44508.5,0,0,1,3.50909168,0,4.10146,9199.9,22378
15.7393379,0.001,348577,118070.905,0.165320804,5.88099818,5365.67423,0.0299475,6479.45821,55611.15,2.80750815,40964.9,1023.295943,1.450895066,5.99196,40964.9,1,0,0,6036.87973,1,7.95211,3642,6812.4
15.7393379,0.001,354979,117310.329,0.335507822,6.48768749,8882.08791,0.039408,9157.47823,64457.1814,5.30546783,45259.7,1448.869902,1.458396036,6.89443,45259.7,0,0,0,0,0,3.5107,6441.6,18183
15.7393379,0.001,334721,110590.639,4.14048767,9.30280598,175.064925,0.0388503,13297.5754,54223.0584,2.19583529,41034.5,263.8010433,2.859627535,9.65337,41034.5,59,5,1,24.8794701,1,2.56264,200.89,941.08
5.492126074,0.001,272384,96787.6406,0.418007629,2.4602334,6593.20217,0.055062,2313.13393,44945.0245,2.67486847,34666.3,3613.870187,0.782190205,2.62175,34666.3,1,0,0,1572.30587,0,5.77287,5246.3,14364
5.492126074,0.001,285158,100549.432,0.606751187,2.16530072,5519.9055,0.0655601,2305.87537,51383.4844,5.39426679,38869.9,5274.144478,0.676100451,2.37798,38869.9,2,1,0,11.1959411,1,4.20345,5802.5,12112
5.492126074,0.001,305328,107693.245,0.191541455,2.37863067,21038.7162,0.0754107,3016.21624,53837.8879,6.77671628,40262.2,9430.972692,0.435083126,2.53052,40262.2,0,0,1,5.63135979,0,4.69766,23524,40140
5.492126074,0.001,266984,95398.8788,2.50438136,4.66886106,412.67124,0.0784841,4885.98834,55442.7749,2.60045362,42620.6,543.7362384,2.764554533,4.68939,42620.6,42,3,0,14.1515659,1,3.21045,575.98,1855.1
1.941759795,0.001,10927,13646.6427,0.179524603,1.11758758,1099.33976,0.0469479,2.05E-04,7164.80207,1.74239435,4341,1191.99047,0.461336667,1.38401,4341,1,0,0,7539.29589,0,26.7606,2867.4,7536.5
